page_type,input_count,button_count,link_count,form_count,image_count,heading_count,list_count,table_count,password_fields,email_inputs,checkbox_count,radio_count,search_box_present,navbar_present,footer_present,sidebar_present,modal_present,aria_labels_count,aria_buttons_count,aria_roles_count,login_keyword_count,register_keyword_count,search_keyword_count,cart_keyword_count,checkout_keyword_count,payment_keyword_count,profile_keyword_count,add_to_cart_keyword_count,avg_form_size,max_form_size,submit_button_count,title_length,visible_text_length
SEARCH,2,2,63,1,22,3,9,0,0,0,2,0,1,1,1,1,0,4,3,2,0,0,9,0,0,0,0,0,4.0,6,0,16,371
REGISTER,8,2,6,1,5,3,1,2,1,1,1,0,0,1,1,0,0,5,5,7,0,5,0,0,0,0,1,0,10.0,17,1,31,226
CART,3,9,23,1,4,4,5,0,0,0,0,1,1,1,1,1,0,3,1,5,0,0,0,9,4,0,0,0,5.0,7,1,40,211
PAYMENT,8,2,20,1,13,5,5,3,0,0,1,0,1,1,0,0,0,5,6,1,0,0,1,0,0,5,0,1,9.0,14,0,33,191
REGISTER,7,3,5,1,8,5,2,0,1,1,1,1,0,1,1,1,0,3,2,2,0,7,2,0,0,0,0,0,10.0,14,1,41,135
ERROR,1,0,4,0,0,4,1,1,0,0,1,2,0,0,1,1,0,8,1,3,0,0,0,0,0,0,0,0,0.0,0,1,13,30
PRODUCT,1,5,27,0,16,16,2,0,0,0,0,0,1,1,1,0,0,11,2,2,0,0,1,0,0,0,0,4,0.0,0,1,25,788
HOME,4,1,60,0,20,17,1,0,0,0,0,2,1,1,1,1,0,5,3,3,0,1,3,0,1,0,0,0,0.0,0,0,33,441
HOME,6,0,66,2,27,12,1,1,0,0,0,0,1,1,1,1,0,4,0,4,0,0,0,0,0,0,0,0,4.0,5,2,35,447
PRODUCT,2,6,18,0,14,5,2,0,0,0,1,0,1,1,1,0,0,3,3,7,0,0,0,0,0,0,1,3,0.0,0,0,22,531
REGISTER,8,3,10,1,4,3,2,1,2,1,1,2,0,1,1,1,0,4,1,1,1,4,1,0,0,0,0,0,12.0,17,1,51,154
UNKNOWN,7,6,14,1,8,5,2,0,0,0,0,1,1,0,1,0,0,7,2,11,0,0,0,0,0,1,0,0,8.0,12,0,23,602
ERROR,0,2,2,0,1,9,2,0,0,0,1,0,1,0,1,0,1,5,1,1,0,1,0,0,0,0,0,0,0.0,0,1,16,43
PRODUCT,5,6,22,1,17,11,2,2,0,0,1,0,0,1,0,1,0,7,3,0,0,0,2,0,0,0,0,3,7.0,9,1,25,1246
PAYMENT,11,4,11,1,10,8,1,0,0,0,2,0,0,1,0,1,0,8,1,2,0,0,0,0,0,12,0,1,14.0,24,1,37,184
LOGIN,3,2,5,1,11,5,1,0,1,1,1,0,0,1,1,1,0,3,1,4,5,0,1,0,0,0,0,0,5.0,5,1,48,127
LOGIN,3,1,6,2,11,2,3,0,2,0,1,0,1,0,1,0,0,3,4,2,6,0,0,0,0,0,0,2,2.5,2,1,31,175
CART,3,8,27,2,6,5,4,2,0,0,1,0,1,1,1,0,1,5,2,2,1,0,0,6,4,0,0,1,3.0,3,2,38,384
CART,2,9,24,1,11,2,4,1,0,0,0,0,0,1,1,0,0,5,3,3,1,0,2,8,1,0,0,0,2.0,3,0,37,587
REGISTER,6,4,4,1,12,8,2,1,2,1,2,1,0,1,1,0,0,6,2,4,0,7,0,0,0,0,0,0,10.0,16,1,21,268
CART,5,4,17,0,5,3,2,1,0,0,0,1,0,1,1,0,0,7,1,3,0,1,1,5,3,0,0,0,0.0,0,0,48,367
PROFILE,12,5,17,3,3,5,0,0,0,0,0,1,0,1,1,1,0,4,2,4,0,0,0,0,0,0,5,0,4.33,4,0,37,166
ERROR,0,0,2,0,1,3,1,2,0,0,1,1,0,1,1,0,0,4,2,5,0,0,1,1,0,0,0,0,0.0,0,0,5,42
UNKNOWN,13,7,23,2,9,5,1,1,0,0,0,1,0,1,1,1,0,8,0,2,0,0,0,0,0,1,0,0,8.0,9,2,16,457
PAYMENT,10,1,21,1,10,4,5,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,1,7,0,1,10.0,15,0,40,193
HOME,4,3,69,1,39,11,2,1,0,0,2,1,1,1,1,0,0,8,3,1,0,0,2,0,0,0,0,0,7.0,9,0,28,1125
SEARCH,3,2,67,1,17,5,5,1,0,0,0,1,1,1,1,1,0,5,3,3,0,0,5,0,0,1,0,0,5.0,8,1,22,728
ERROR,1,3,3,0,1,3,1,0,0,0,0,0,1,1,1,1,1,7,2,2,0,0,0,0,0,1,0,0,0.0,0,1,22,80
LOGIN,2,2,9,1,11,3,1,1,2,1,1,1,1,1,0,0,0,3,3,1,5,0,1,0,0,0,0,2,5.0,8,1,13,163
PAYMENT,12,0,23,2,13,2,1,0,0,0,1,1,0,1,0,0,0,2,3,2,0,0,0,0,0,10,1,0,7.5,8,1,38,157
PRODUCT,2,7,24,0,17,13,2,0,0,0,0,0,1,1,1,0,0,2,2,3,0,0,0,0,0,0,0,5,0.0,0,1,41,515
SEARCH,2,1,59,2,23,5,7,1,0,0,0,0,1,1,0,0,0,3,1,4,0,0,7,0,0,0,0,0,1.5,2,1,38,878
CART,2,5,20,2,7,4,4,3,0,0,0,1,1,1,1,1,0,2,2,1,0,0,0,8,5,0,0,0,2.0,2,1,21,258
HOME,7,1,59,1,24,15,5,0,0,0,0,0,1,1,1,0,0,5,2,1,1,0,2,0,0,0,0,0,8.0,8,1,38,1087
PAYMENT,7,2,26,1,11,7,1,2,0,0,1,1,0,0,0,0,0,1,1,7,0,0,1,0,0,8,0,0,10.0,10,1,26,245
HOME,9,3,73,1,34,16,5,1,0,0,0,0,1,1,1,1,0,9,3,4,2,0,1,1,0,0,0,0,9.0,12,0,51,1235
HOME,3,1,81,0,24,20,0,0,0,0,1,0,0,1,1,1,0,4,1,1,0,0,5,0,1,0,0,0,0.0,0,1,34,833
PROFILE,5,6,19,2,2,5,0,0,0,0,1,0,0,1,1,0,0,6,3,4,0,0,0,0,0,0,5,0,3.5,3,1,45,441
CART,3,3,27,0,5,8,5,3,0,0,2,1,0,1,1,0,0,7,2,1,0,1,1,5,4,0,0,0,0.0,0,0,23,520
LOGIN,4,3,11,1,8,2,4,1,1,1,1,0,0,1,0,1,0,3,1,3,3,0,0,0,0,0,0,0,6.0,9,1,27,88
CHECKOUT,9,4,23,1,8,9,3,0,0,0,0,1,0,0,0,0,0,6,2,4,0,0,0,2,6,0,0,0,11.0,11,1,45,432
CHECKOUT,15,4,28,2,15,4,3,0,0,0,0,2,1,0,1,0,0,3,3,6,0,0,0,0,8,0,0,0,9.0,14,1,39,250
HOME,6,1,74,2,35,11,1,2,0,0,0,0,1,1,1,1,0,4,1,3,2,0,3,0,0,0,0,0,3.0,4,0,41,684
HOME,2,2,65,0,24,13,0,0,0,0,2,0,1,1,1,1,0,8,1,3,2,0,3,0,0,0,0,0,0.0,0,0,17,1196
UNKNOWN,13,4,12,3,12,7,1,1,0,0,3,1,1,1,1,0,0,2,1,3,0,0,0,0,0,0,1,0,6.0,7,1,44,633
REGISTER,9,6,6,1,9,6,2,1,2,1,2,0,1,1,1,0,0,6,3,2,0,4,0,0,0,0,0,0,12.0,14,1,30,285
CART,6,8,26,0,12,4,3,1,0,0,2,2,0,1,1,0,0,7,0,5,0,1,0,11,3,0,0,0,0.0,0,0,33,317
UNKNOWN,8,1,19,2,7,4,2,1,0,0,1,0,0,1,1,0,0,5,3,5,0,0,1,1,1,0,0,0,5.0,7,1,27,660
UNKNOWN,8,7,23,1,10,6,0,0,0,0,2,0,0,1,1,0,0,9,6,3,1,0,0,0,0,0,1,0,10.0,10,0,24,413
PRODUCT,1,2,18,0,15,11,4,0,0,0,1,0,0,1,1,0,0,5,2,2,0,0,1,0,0,0,0,6,0.0,0,1,5,1666
SETTINGS,5,8,16,5,8,3,4,1,0,0,11,7,1,0,1,0,0,2,1,3,0,0,0,2,0,0,0,0,4.8,5,1,43,480
UNKNOWN,8,2,22,1,9,0,3,0,0,0,0,0,0,1,1,0,0,6,5,0,0,0,1,0,0,0,0,0,9.0,9,1,38,654
HOME,6,4,68,0,20,7,1,1,0,0,0,0,1,1,0,0,0,2,3,2,2,1,2,0,0,0,0,0,0.0,0,0,40,1148
SEARCH,1,4,66,1,18,3,6,0,0,0,1,0,1,1,1,0,0,8,2,3,1,1,5,0,0,0,0,0,4.0,6,2,51,411
ERROR,1,0,5,0,2,5,4,1,0,0,2,0,0,1,1,1,0,5,2,4,0,0,1,0,0,0,0,0,0.0,0,0,18,76
LOGIN,3,3,6,1,7,6,4,1,3,0,0,0,1,1,1,0,0,7,5,2,5,0,0,0,0,0,0,1,4.0,5,1,48,203
PAYMENT,10,3,16,2,7,9,3,0,0,0,1,2,0,0,0,0,0,4,3,3,1,0,0,0,0,9,0,0,6.5,7,0,29,358
PRODUCT,3,7,29,0,8,10,0,1,0,0,0,1,1,0,1,0,0,2,2,3,0,0,0,0,0,0,0,5,0.0,0,2,38,113
CHECKOUT,18,3,29,2,9,4,2,0,0,0,0,4,0,0,0,0,0,2,2,5,0,0,2,1,8,0,0,0,12.0,21,2,32,276
CHECKOUT,23,6,18,2,10,7,5,0,0,0,0,3,0,0,1,0,0,6,0,4,0,0,0,0,6,0,0,0,13.5,24,1,31,342
CART,3,7,26,0,7,4,2,0,0,0,1,0,0,1,1,1,0,5,1,3,0,0,2,4,3,0,0,0,0.0,0,1,48,247
LOGIN,5,1,8,1,7,4,0,0,2,1,3,0,0,0,1,1,0,4,2,0,4,0,1,1,0,0,0,0,9.0,14,1,35,138
SEARCH,2,4,66,2,19,9,11,0,0,0,1,0,1,1,1,1,0,5,0,2,0,0,8,0,0,0,2,0,1.5,2,0,40,892
UNKNOWN,9,5,24,0,12,5,2,0,0,0,1,1,1,1,1,0,0,3,1,4,0,0,0,0,0,1,0,0,0.0,0,1,27,143
PAYMENT,7,4,20,2,13,12,1,1,0,0,3,1,1,0,0,0,0,4,1,2,0,0,2,0,0,9,1,0,5.5,8,0,30,249
HOME,6,0,78,0,38,19,1,0,0,0,0,0,1,1,1,1,0,6,0,1,0,0,2,3,0,0,0,0,0.0,0,3,64,221
HOME,4,3,63,1,36,18,1,1,0,0,3,1,1,1,1,1,0,4,4,0,0,0,3,0,0,0,0,1,10.0,17,2,33,811
CHECKOUT,18,4,15,3,12,7,2,2,0,0,1,3,0,0,0,0,0,3,2,4,0,0,0,0,6,1,1,0,7.33,11,0,35,322
ERROR,0,1,3,0,4,10,3,0,0,0,1,1,0,1,1,0,0,6,0,4,1,0,0,0,0,0,0,0,0.0,0,1,11,42
CHECKOUT,15,3,16,3,10,2,4,1,0,0,1,4,0,0,1,0,0,4,1,0,1,0,0,0,5,0,0,1,7.0,7,1,22,190
UNKNOWN,10,7,15,1,13,6,2,1,0,0,0,1,1,1,1,1,0,6,1,1,0,0,0,0,0,1,0,0,11.0,12,0,36,312
ERROR,0,2,5,0,1,6,0,0,0,0,0,0,0,0,1,0,0,4,1,4,1,0,0,1,0,0,0,0,0.0,0,2,17,79
UNKNOWN,9,5,22,2,16,4,1,1,0,0,0,1,0,1,1,1,0,4,4,1,0,0,1,1,0,0,0,0,7.0,9,4,34,469
SEARCH,1,2,84,1,20,4,6,0,0,0,1,1,1,1,1,1,0,5,2,2,0,0,11,1,0,0,0,0,5.0,7,2,25,555
ERROR,1,3,4,0,0,8,0,3,0,0,1,0,0,1,1,0,0,5,0,0,1,0,2,0,0,0,0,0,0.0,0,0,16,66
CHECKOUT,15,5,21,4,13,6,3,0,0,0,2,4,0,0,1,0,0,5,0,2,0,0,0,0,9,0,0,0,5.25,7,0,43,203
LOGIN,3,2,6,1,11,2,4,1,1,1,1,0,0,1,1,0,0,5,3,3,6,0,1,0,1,0,0,0,5.0,7,1,27,191
PAYMENT,8,2,17,1,7,3,2,0,0,0,2,1,1,0,0,0,0,5,3,1,2,0,1,0,0,8,0,1,12.0,18,1,30,202
SETTINGS,7,9,25,3,8,9,0,1,0,0,10,8,0,1,1,0,0,3,4,1,0,0,1,0,1,0,0,0,8.33,11,0,47,146
HOME,7,4,71,5,35,14,3,0,0,0,1,1,1,1,0,0,0,6,0,1,2,0,1,0,0,0,0,0,2.0,3,1,31,837
REGISTER,5,2,6,1,9,7,0,0,2,1,2,0,0,1,1,0,0,10,4,1,0,8,1,0,0,0,0,0,8.0,8,1,30,261
CHECKOUT,10,1,28,2,11,2,2,1,0,0,0,3,0,0,0,0,0,7,0,1,0,1,0,0,3,0,0,0,6.5,6,0,34,253
PRODUCT,2,6,16,1,11,9,3,1,0,0,0,0,0,1,1,0,1,4,0,2,1,0,1,1,1,0,0,3,3.0,3,1,22,1320
HOME,7,1,77,0,29,13,0,0,0,0,0,1,1,1,0,0,0,4,4,4,1,0,1,0,0,0,0,0,0.0,0,0,49,394
HOME,6,1,60,1,35,17,1,0,0,0,0,0,1,1,0,0,0,7,4,2,1,0,3,0,0,0,0,0,7.0,8,1,33,850
LOGIN,3,2,6,1,10,3,2,2,2,0,0,0,0,1,1,0,0,4,5,1,3,0,0,0,0,0,0,0,4.0,6,1,29,110
PAYMENT,7,2,16,2,12,6,1,1,0,0,1,1,1,1,0,0,0,6,1,2,0,0,1,0,0,6,0,0,5.0,5,1,67,294
HOME,5,1,66,2,35,16,3,1,0,0,0,0,1,1,1,0,0,4,4,7,0,0,0,0,0,0,1,0,3.5,5,2,34,1224
CHECKOUT,21,1,25,2,9,7,3,0,0,0,0,4,0,0,0,0,1,3,0,5,0,0,2,0,5,0,0,0,13.0,14,1,41,183
ERROR,2,1,3,1,0,3,3,0,0,0,0,2,1,0,1,0,0,4,1,6,0,0,0,0,0,0,0,0,5.0,6,1,19,19
LOGIN,3,3,8,1,7,2,2,1,1,1,1,0,1,0,1,0,0,8,1,3,3,0,1,1,2,0,0,0,5.0,8,1,38,10
PROFILE,7,5,18,1,3,4,1,1,0,0,2,2,0,1,1,0,0,7,1,1,0,0,1,2,0,0,8,0,11.0,15,0,48,239
LOGIN,3,2,4,2,12,1,1,1,1,0,0,1,1,1,1,0,0,7,1,0,5,0,1,0,0,0,0,0,2.5,2,1,38,143
LOGIN,6,4,8,2,20,8,0,0,1,0,0,0,0,0,1,0,0,5,0,2,7,0,1,0,0,0,0,0,3.5,5,1,40,184
HOME,3,5,61,0,38,19,6,1,0,0,1,0,0,0,1,0,0,5,2,1,2,0,1,1,0,0,0,0,0.0,0,1,30,1062
CART,4,6,25,0,9,1,4,0,0,0,0,0,0,1,1,0,1,2,3,3,0,0,1,6,1,0,0,0,0.0,0,3,41,724
PAYMENT,8,1,17,2,12,4,2,2,0,0,1,0,1,0,0,1,0,4,0,4,0,0,1,1,0,10,0,0,4.5,7,0,29,211
REGISTER,7,2,9,1,8,5,3,0,1,1,3,1,0,1,1,0,0,3,2,2,1,7,0,0,0,0,0,1,12.0,20,1,44,233
SETTINGS,5,14,15,4,5,11,3,0,0,0,12,7,0,0,1,0,0,6,2,5,0,0,1,0,0,0,0,0,6.25,10,1,32,595
PROFILE,12,6,28,3,3,5,2,0,0,0,0,0,0,1,1,0,1,2,2,1,0,0,1,0,0,1,6,0,4.67,7,2,21,290
HOME,3,2,60,0,35,12,5,0,0,0,1,1,1,1,1,1,0,5,3,0,0,0,0,0,0,0,0,0,0.0,0,1,26,1064
HOME,6,3,72,0,27,16,2,0,0,0,1,0,0,1,1,0,0,6,2,2,1,0,3,0,0,1,0,0,0.0,0,1,41,917
PRODUCT,1,5,20,0,13,12,5,0,0,0,1,1,1,1,1,0,0,2,3,4,0,0,2,0,2,1,0,5,0.0,0,1,23,859
LOGIN,3,2,8,1,9,5,1,1,2,1,1,1,0,1,1,1,0,2,1,2,8,0,0,1,0,0,0,0,6.0,7,1,47,157
PRODUCT,2,6,21,1,15,10,0,0,0,0,0,0,1,0,1,0,0,0,2,6,0,0,0,0,0,0,0,4,5.0,6,3,35,960
UNKNOWN,9,2,23,1,5,9,4,0,0,0,1,0,0,1,1,0,0,2,3,2,0,1,0,0,0,0,0,0,12.0,14,2,30,687
PAYMENT,10,3,24,2,6,6,4,0,0,0,0,0,0,0,0,0,1,6,3,7,0,0,1,1,0,13,0,0,5.0,5,0,38,163
UNKNOWN,11,3,16,4,7,3,1,0,0,0,1,0,0,1,0,1,0,4,4,4,0,0,0,0,0,0,0,0,3.25,4,1,30,751
REGISTER,7,2,9,1,11,7,2,0,1,1,2,0,0,1,1,1,0,7,3,5,0,6,1,0,0,0,0,0,10.0,14,1,43,155
CART,6,7,22,0,7,3,6,1,0,0,1,0,0,1,1,0,0,3,5,2,0,0,0,8,4,0,0,0,0.0,0,1,31,315
CART,8,6,26,1,5,2,3,0,0,0,0,2,0,1,1,0,0,8,1,5,1,1,1,7,1,1,0,0,10.0,17,0,49,441
CART,4,6,23,0,6,5,3,1,0,0,1,0,0,1,1,0,0,6,2,6,0,0,0,8,3,0,0,0,0.0,0,1,23,491
SEARCH,1,3,66,1,20,0,7,0,0,0,1,0,1,1,0,0,0,4,5,7,0,1,7,0,0,0,0,0,3.0,4,1,35,352
PAYMENT,6,6,16,2,9,2,4,0,0,0,2,0,1,0,0,0,0,6,6,4,0,0,1,0,1,11,0,0,5.0,5,2,23,390
SEARCH,6,2,65,1,20,2,7,0,0,0,0,0,1,1,1,1,0,4,1,1,0,0,13,0,0,0,0,0,7.0,12,1,42,32
SETTINGS,5,8,23,3,8,5,3,0,0,0,11,6,0,1,1,1,0,5,2,3,0,0,0,0,0,0,0,0,7.67,13,1,61,632
PRODUCT,2,6,19,2,13,17,1,1,0,0,1,1,0,1,0,1,0,6,2,2,1,0,1,0,0,0,0,4,2.5,3,1,21,412
REGISTER,8,4,5,1,9,3,1,0,1,1,3,2,0,1,0,0,0,4,2,3,0,4,0,0,0,0,0,0,14.0,21,1,39,225
SETTINGS,6,10,13,3,8,1,1,1,0,0,15,9,0,1,1,0,0,5,1,2,0,0,1,0,0,0,0,0,10.0,11,0,12,538
CART,3,6,11,2,8,4,3,2,0,0,0,0,0,0,1,0,0,8,5,4,0,1,0,7,2,0,0,0,2.0,2,1,43,510
LOGIN,4,3,9,2,13,3,5,0,1,1,0,0,0,0,1,0,0,8,5,4,7,0,0,0,0,0,0,0,2.5,3,1,43,114
LOGIN,3,1,9,1,8,7,2,0,1,1,1,0,0,0,1,0,0,4,2,1,7,0,0,0,0,0,0,0,5.0,5,1,36,124
UNKNOWN,12,8,19,4,9,1,0,0,0,0,3,0,1,1,1,1,0,3,2,4,0,0,0,1,0,0,1,0,3.75,4,0,32,679
ERROR,0,2,4,0,2,6,2,2,0,0,1,1,0,1,1,0,0,7,1,3,0,0,0,0,0,0,1,0,0.0,0,0,23,54
REGISTER,5,1,12,1,13,10,3,2,2,1,3,3,1,0,0,1,0,4,5,2,0,6,0,1,0,0,0,0,12.0,20,1,45,223
REGISTER,10,1,6,1,12,6,1,2,3,1,1,0,0,1,1,1,0,2,1,2,1,7,1,1,0,0,0,0,12.0,19,1,34,69
LOGIN,3,2,9,1,10,8,2,0,1,1,0,2,0,0,1,0,0,3,1,3,5,0,2,0,0,1,0,0,6.0,7,1,38,114
CHECKOUT,13,5,22,2,13,5,2,0,0,0,2,4,0,1,0,0,0,11,2,7,0,0,1,0,6,0,0,1,9.5,11,0,32,168
PROFILE,5,7,25,1,5,2,1,0,0,0,1,0,1,1,1,0,0,4,1,4,0,0,1,0,0,0,5,0,7.0,8,1,34,257
ERROR,0,1,3,0,3,5,1,0,0,0,0,0,1,1,1,0,0,10,0,3,0,0,0,0,0,0,0,0,0.0,0,0,15,30
SEARCH,2,1,58,1,27,5,5,1,0,0,1,1,1,1,0,0,0,3,6,3,0,0,8,1,0,0,1,0,4.0,6,0,40,983
ERROR,1,5,3,0,2,3,1,0,0,0,1,0,0,0,1,0,0,6,2,2,0,0,0,0,0,0,0,1,0.0,0,1,17,39
HOME,5,1,63,2,28,10,0,0,0,0,1,0,1,1,1,0,0,7,0,2,2,1,4,1,0,0,1,0,4.0,5,2,37,1156
ERROR,0,0,3,0,0,8,3,2,0,0,0,1,1,1,1,0,0,4,5,4,0,0,1,0,0,0,0,0,0.0,0,1,19,60
CHECKOUT,17,2,14,3,15,4,1,0,0,0,3,4,0,0,0,0,0,5,1,2,0,0,1,0,5,0,2,0,8.0,12,0,33,394
